Date,Price,Open,High,Low,Change %
"Apr 22, 2019",3.9365,3.9268,3.9394,3.9127,0.0023
"Apr 19, 2019",3.9275,3.9275,3.9275,3.9275,0
"Apr 18, 2019",3.9274,3.9409,3.9522,3.9047,-0.0027
"Apr 17, 2019",3.9382,3.9052,3.9477,3.8859,0.0088
"Apr 16, 2019",3.904,3.873,3.9085,3.8687,0.0082
"Apr 15, 2019",3.8723,3.8811,3.8908,3.8588,-0.0025
"Apr 12, 2019",3.8819,3.8584,3.908,3.8575,0.0061
"Apr 11, 2019",3.8582,3.8264,3.8636,3.8264,0.0087
"Apr 10, 2019",3.8251,3.8511,3.8542,3.8144,-0.0067
"Apr 09, 2019",3.851,3.85,3.8649,3.8462,0.0004
"Apr 08, 2019",3.8495,3.872,3.8773,3.8415,-0.0062
"Apr 05, 2019",3.8735,3.8589,3.8766,3.8415,0.0038
"Apr 04, 2019",3.859,3.8708,3.8876,3.8472,-0.0028
"Apr 03, 2019",3.87,3.8538,3.8824,3.8327,0.0042
"Apr 02, 2019",3.8537,3.8523,3.88,3.8483,0.0005
"Apr 01, 2019",3.8518,3.8897,3.8932,3.8492,-0.0186
"Mar 29, 2019",3.9247,3.9016,3.9347,3.8679,0.0061
"Mar 28, 2019",3.901,3.9927,4.0159,3.8982,-0.0232
"Mar 27, 2019",3.9935,3.8739,4.0019,3.8725,0.03
"Mar 26, 2019",3.8773,3.8529,3.8794,3.8333,0.0059
"Mar 25, 2019",3.8544,3.9047,3.9374,3.8438,-0.0135
"Mar 22, 2019",3.9071,3.7928,3.9169,3.7928,0.0301
"Mar 21, 2019",3.793,3.7761,3.8382,3.7639,0.0044
"Mar 20, 2019",3.7763,3.7921,3.7994,3.7386,-0.0034
